NAME,geometry,Cumulative_2020-2023_NDM,2020-2023_NDM_as_%_of_2020_Population,2020-2023_NDM_as_%_of_2020_Population_Percentile
"Kaufman County, TX","POLYGON ((-96.529412 32.545277, -96.51897 32.813616, -96.297376 32.814185, -96.297322 32.841723, -96.076801 32.838489, -96.075899 32.357505, -96.452372 32.358659, -96.434278 32.410853, -96.498216 32.453729, -96.513286 32.512143, -96.503287 32.526563, -96.529412 32.545277))",37194.0,25.59683979436641,100.0
"Sumter County, FL","POLYGON ((-82.311697 28.960391, -81.95419 28.960053, -81.958029 28.308925, -82.02056 28.323783, -82.055819 28.312794, -82.054469 28.521367, -82.09498 28.523618, -82.156164 28.57335, -82.211951 28.574055, -82.256811 28.64883, -82.273605 28.653797, -82.249207 28.717393, -82.18628 28.760468, -82.169141 28.792954, -82.183637 28.823626, -82.273585 28.897216, -82.311697 28.960391))",28405.0,21.892943851400826,99.97
"Rockwall County, TX","POLYGON ((-96.51897 32.813616, -96.517011 32.982862, -96.297227 32.981752, -96.297376 32.814185, -96.51897 32.813616))",21842.0,20.25332888245985,99.94
"Comal County, TX","POLYGON ((-98.646124 29.745181, -98.2976 30.037994, -98.030523 29.848539, -97.999271 29.752444, -98.089941 29.683479, -98.310928 29.594473, -98.345252 29.618297, -98.342733 29.653442, -98.384341 29.676534, -98.380487 29.703464, -98.34135 29.70965, -98.352589 29.734365, -98.37521 29.719975, -98.408049 29.748471, -98.438344 29.715627, -98.445978 29.735884, -98.526781 29.740445, -98.550489 29.760713, -98.582849 29.741137, -98.646124 29.745181))",32508.0,20.129665062881983,99.9
"Custer County, CO","POLYGON ((-105.796897 38.265047, -105.049215 38.257973, -105.049917 37.915479, -105.0778 37.952964, -105.126207 37.951534, -105.147969 38.006239, -105.168652 38.018946, -105.249742 37.951521, -105.280549 37.901215, -105.317081 37.938949, -105.413635 37.890527, -105.473204 37.89597, -105.530378 37.953363, -105.583922 37.967196, -105.603527 38.031263, -105.66148 38.100912, -105.673042 38.159126, -105.787887 38.242056, -105.796897 38.265047))",901.0,19.145771355716107,99.87
"Brunswick County, NC","POLYGON ((-78.650385 33.945736, -78.648351 33.96554, -78.624083 33.973298, -78.640615 34.01028, -78.5908 34.027155, -78.557052 34.061849, -78.545218 34.145747, -78.502903 34.169122, -78.422734 34.139631, -78.366793 34.188774, -78.374295 34.204893, -78.254622 34.216305, -78.154531 34.364968, -78.120727 34.368002, -78.078836 34.35395, -78.078334 34.338859, -78.059813 34.344836, -78.026212 34.318101, -78.008657 34.322552, -78.015913 34.290269, -77.990212 34.281669, -78.002012 34.273069, -77.956605 34.234491, -77.95861 34.17377, -77.936921 34.122845, -77.930956 34.050324, -77.948479 33.971274, -77.9372410368847 33.9292408158428, -77.960486 33.843151, -78.008329 33.864174, -77.989785 33.888003, -77.99591 33.905637, -78.020671 33.888269, -78.239228 33.917452, -78.387122 33.901959, -78.540518 33.852711, -78.650385 33.945736))",26071.0,19.07238743187388,99.84
"Broadwater County, MT","POLYGON ((-111.787949 46.569465, -111.631906 46.569972, -111.638701 46.738317, -111.606135 46.776607, -111.464901 46.751691, -111.463617 46.722481, -111.448533 46.715661, -111.462356 46.704781, -111.443994 46.695453, -111.449449 46.681435, -111.414743 46.673687, -111.410268 46.639223, -111.330351 46.633338, -111.334194 46.578331, -111.319996 46.56227, -111.344736 46.545429, -111.257378 46.498485, -111.246519 46.438109, -111.208911 46.427059, -111.122065 46.452341, -111.125122 46.439755, -111.057065 46.403128, -111.069308 46.351417, -111.118123 46.31697, -111.12707 46.273754, -111.074914 46.25065, -111.0837 46.237452, -111.061757 46.220743, -111.061956 46.192834, -111.346652 46.187785, -111.349372 46.122607, -111.398521 46.105849, -111.391238 46.092087, -111.423831 46.061951, -111.419618 45.996322, -111.458936 45.99828, -111.471285 45.951475, -111.54497 45.910777, -111.587359 45.906802, -111.660057 45.8335, -111.660422 46.049192, -111.784565 46.049813, -111.787949 46.569465))",1254.0,18.509225092250922,99.81
"Long County, GA","POLYGON ((-81.981621 31.799881, -81.922302 31.851463, -81.881996 31.918341, -81.889534 31.949133, -81.824405 32.014882, -81.793922 31.977796, -81.74694 31.969326, -81.766296 31.886234, -81.752326 31.861207, -81.656531 31.798014, -81.641761 31.765451, -81.491798 31.699575, -81.565976 31.576518, -81.681266 31.541671, -81.701774 31.584922, -81.768814 31.614343, -81.813637 31.664458, -81.820999 31.651062, -81.850624 31.667671, -81.876464 31.71315, -81.906666 31.725812, -81.911369 31.753481, -81.944496 31.760402, -81.952514 31.788326, -81.981621 31.799881))",2946.0,18.23245451169699,99.78
"Dawson County, GA","POLYGON ((-84.345749 34.567038, -84.326393 34.583633, -84.255112 34.568333, -84.254677 34.597496, -84.223907 34.596992, -84.196754 34.617924, -84.19104 34.539181, -84.106675 34.465852, -83.980649 34.418389, -83.981433 34.357829, -83.957077 34.334011, -84.258075 34.335156, -84.256867 34.467327, -84.319679 34.467857, -84.345749 34.567038))",4859.0,18.13330347813106,99.75
"St. Johns County, FL","POLYGON ((-81.690458 30.042834, -81.680215 30.12124, -81.612312 30.132941, -81.539009 30.119942, -81.538707 30.103748, -81.433783 30.105536, -81.436929 30.252335, -81.3798769128199 30.2529135364396, -81.308978 29.96944, -81.275113 29.898838, -81.253877 29.776852, -81.2128778426699 29.6706669347027, -81.24726 29.659093, -81.261018 29.669076, -81.308652 29.642065, -81.324345 29.653478, -81.324059 29.62561, -81.52366 29.622432, -81.52523 29.759497, -81.564171 29.798517, -81.599013 29.875422, -81.60099 29.956017, -81.678243 30.012233, -81.690458 30.042834))",46803.0,17.117496031775058,99.71
"Liberty County, TX","POLYGON ((-95.165897 30.344976, -94.849414 30.493553, -94.732732 30.490066, -94.596338 30.112101, -94.44491 30.113015, -94.442235 29.889538, -94.98146 29.884276, -94.998656 29.919771, -94.982095 29.964754, -94.999834 29.991322, -95.031179 29.993324, -95.165897 30.344976))",15639.0,17.067368030470035,99.68
"Blanco County, TX","POLYGON ((-98.59167 30.499875, -98.411462 30.502095, -98.125556 30.426186, -98.172977 30.356312, -98.2976 30.037994, -98.414018 29.937557, -98.587897 30.138954, -98.59167 30.499875))",1902.0,16.720879120879122,99.65
"Flagler County, FL","POLYGON ((-81.52366 29.622432, -81.324059 29.62561, -81.324345 29.653478, -81.308652 29.642065, -81.261018 29.669076, -81.24726 29.659093, -81.2128778426699 29.6706669347027, -81.1019097824214 29.4270547299613, -81.155881 29.410954, -81.150081 29.265957, -81.41729 29.261156, -81.420745 29.399645, -81.478793 29.399052, -81.487594 29.448251, -81.520467 29.496513, -81.52366 29.622432))",18747.0,16.249176576639044,99.62
"Parker County, TX","POLYGON ((-98.066836 32.558822, -98.056094 33.003332, -97.544172 32.994651, -97.550582 32.555391, -98.066836 32.558822))",24072.0,16.240723249224125,99.59
"Jackson County, GA","POLYGON ((-83.817682 34.127493, -83.619918 34.29538, -83.561521 34.252712, -83.479238 34.26071, -83.363835 34.164059, -83.357051 34.116199, -83.386763 34.050241, -83.359495 34.040288, -83.484473 33.992827, -83.503054 33.999577, -83.498243 33.987529, -83.537385 33.965912, -83.573438 34.039057, -83.694595 34.056255, -83.709577 34.045222, -83.733726 34.067345, -83.764877 34.065141, -83.817682 34.127493))",11947.0,15.737959742860152,99.55
"Jasper County, SC","POLYGON ((-81.2812975973478 32.556440280647, -81.014625 32.753058, -80.945865 32.687348, -80.95867 32.642507, -80.902448 32.621561, -80.869705 32.660935, -80.831543 32.593388, -80.847733 32.530057, -80.817729 32.46569, -80.850197 32.416307, -80.82924 32.41147, -80.841936 32.3849, -80.873715 32.369059, -80.877594 32.345901, -80.924459 32.350289, -80.93494 32.300108, -81.006369 32.306521, -80.991677 32.267546, -81.016112 32.244294, -80.993271 32.187565, -80.947948 32.168368, -80.952722 32.141747, -80.968033 32.149535, -80.961471 32.126358, -80.90972 32.134707, -80.928313 32.121411, -80.895659 32.107702, -80.910545 32.079923, -80.8793130837558 32.081031311622, -80.907519 32.050935, -80.889512 32.037593, -80.925085 32.041939, -81.004305 32.102367, -81.038125 32.083734, -81.115367 32.114705, -81.112236 32.150804, -81.129746 32.165933, -81.111132 32.172703, -81.114016 32.195448, -81.152153 32.222322, -81.156587 32.24391, -81.119867 32.286203, -81.137926 32.328662, -81.129435 32.341552, -81.143794 32.351529, -81.159832 32.339964, -81.205507 32.423612, -81.204496 32.452779, -81.186952 32.463566, -81.233585 32.498488, -81.23342 32.517963, -81.279905 32.536592, -81.2812975973478 32.556440280647))",4428.0,15.369663311350227,99.52
