Student_ID,Fall,Winter,Spring,Unweighted_Avg,Fall_Weight_Val,Winter_Weight_Val,Spring_Weight_Val,Total_Weight,Weighted_Avg
40001,62.0,,58.0,60.0,0.2,0.0,0.5,0.7,59.142857142857146
40002,35.0,21.0,75.0,43.666666666666664,0.2,0.3,0.5,1.0,48.7
40003,33.0,30.0,40.0,34.333333333333336,0.2,0.3,0.5,1.0,32.6
40004,42.0,30.0,65.0,45.666666666666664,0.2,0.3,0.5,1.0,46.9
40005,49.0,46.0,67.0,54.0,0.2,0.3,0.5,1.0,52.5
40006,72.0,72.0,64.0,69.33333333333333,0.2,0.3,0.5,1.0,60.8
40007,47.0,,56.0,51.5,0.2,0.0,0.5,0.7,53.42857142857143
40008,65.0,,48.0,56.5,0.2,0.0,0.5,0.7,52.85714285714286
40009,42.0,29.0,60.0,43.666666666666664,0.2,0.3,0.5,1.0,44.2
40010,45.0,,70.0,57.5,0.2,0.0,0.5,0.7,62.85714285714286
40011,84.0,78.0,67.0,76.33333333333333,0.2,0.3,0.5,1.0,65.9
40012,36.0,37.0,60.0,44.333333333333336,0.2,0.3,0.5,1.0,44.6
40013,33.0,20.0,63.0,38.666666666666664,0.2,0.3,0.5,1.0,42.1
40014,57.0,49.0,71.0,59.0,0.2,0.3,0.5,1.0,56.7
40015,64.0,62.0,57.0,61.0,0.2,0.3,0.5,1.0,53.7
40016,55.0,,51.0,53.0,0.2,0.0,0.5,0.7,52.142857142857146
40017,55.0,,43.0,49.0,0.2,0.0,0.5,0.7,46.42857142857143
40018,73.0,,51.0,62.0,0.2,0.0,0.5,0.7,57.28571428571429
40019,46.0,45.0,59.0,50.0,0.2,0.3,0.5,1.0,47.7
40020,53.0,52.0,54.0,53.0,0.2,0.3,0.5,1.0,48.0
40021,42.0,29.0,55.0,42.0,0.2,0.3,0.5,1.0,41.7
40022,39.0,,50.0,44.5,0.2,0.0,0.5,0.7,46.857142857142854
40023,46.0,43.0,57.0,48.666666666666664,0.2,0.3,0.5,1.0,46.3
40024,37.0,25.0,51.0,37.666666666666664,0.2,0.3,0.5,1.0,37.9
40025,42.0,39.0,55.0,45.333333333333336,0.2,0.3,0.5,1.0,43.7
40026,24.0,10.0,49.0,27.666666666666668,0.2,0.3,0.5,1.0,31.3
40027,36.0,25.0,47.0,36.0,0.2,0.3,0.5,1.0,35.7
40028,39.0,31.0,47.0,39.0,0.2,0.3,0.5,1.0,37.5
40029,55.0,,57.0,56.0,0.2,0.0,0.5,0.7,56.42857142857143
40030,35.0,34.0,47.0,38.666666666666664,0.2,0.3,0.5,1.0,37.3
40031,35.0,21.0,49.0,35.0,0.2,0.3,0.5,1.0,35.7
40032,66.0,63.0,36.0,55.0,0.2,0.3,0.5,1.0,43.800000000000004
40033,36.0,,43.0,39.5,0.2,0.0,0.5,0.7,41.0
40034,71.0,,53.0,62.0,0.2,0.0,0.5,0.7,58.14285714285715
40035,59.0,,45.0,52.0,0.2,0.0,0.5,0.7,49.0
40036,58.0,53.0,56.0,55.666666666666664,0.2,0.3,0.5,1.0,50.2
40037,45.0,33.0,54.0,44.0,0.2,0.3,0.5,1.0,42.6
40038,37.0,26.0,43.0,35.333333333333336,0.2,0.3,0.5,1.0,34.1
40039,58.0,58.0,54.0,56.666666666666664,0.2,0.3,0.5,1.0,50.2
40040,36.0,,52.0,44.0,0.2,0.0,0.5,0.7,47.42857142857144
40041,56.0,,55.0,55.5,0.2,0.0,0.5,0.7,55.28571428571429
40042,26.0,29.0,53.0,36.0,0.2,0.3,0.5,1.0,37.5
40043,39.0,,43.0,41.0,0.2,0.0,0.5,0.7,41.85714285714286
40044,37.0,27.0,71.0,45.0,0.2,0.3,0.5,1.0,48.3
40045,38.0,,72.0,55.0,0.2,0.0,0.5,0.7,62.28571428571429
40046,54.0,,51.0,52.5,0.2,0.0,0.5,0.7,51.857142857142854
40047,55.0,,49.0,52.0,0.2,0.0,0.5,0.7,50.714285714285715
40048,55.0,55.0,46.0,52.0,0.2,0.3,0.5,1.0,45.0
40049,54.0,43.0,48.0,48.333333333333336,0.2,0.3,0.5,1.0,43.4
40050,49.0,,66.0,57.5,0.2,0.0,0.5,0.7,61.142857142857146
40051,65.0,66.0,48.0,59.666666666666664,0.2,0.3,0.5,1.0,50.2
40052,42.0,,47.0,44.5,0.2,0.0,0.5,0.7,45.57142857142857
40053,39.0,26.0,71.0,45.333333333333336,0.2,0.3,0.5,1.0,48.5
40054,62.0,48.0,43.0,51.0,0.2,0.3,0.5,1.0,43.5
40055,47.0,49.0,49.0,48.333333333333336,0.2,0.3,0.5,1.0,43.7
40056,41.0,34.0,46.0,40.333333333333336,0.2,0.3,0.5,1.0,38.0
40057,59.0,55.0,59.0,57.666666666666664,0.2,0.3,0.5,1.0,52.3
40058,42.0,,52.0,47.0,0.2,0.0,0.5,0.7,49.142857142857146
40059,62.0,58.0,48.0,56.0,0.2,0.3,0.5,1.0,48.0
